Title,Price,Rating,Reviews,Brand
Hair Daily Go Long Spray Medical Treatment for Hair Growth 120ml,"EGP
484
790
38% OFF",4.2,,
"Medical head pillow for infants, anti-flat head – baby pillow with a bear ear design and center opening – soft cotton, comfortable for sleeping","EGP
129
290
55% OFF",,,
Pedo Alternating Pressure Pump and Mattress System | Adjustable Air Flow | Quiet Operation | Size 265cm (L)x 11.2cm(W) x 6.5cm (H),"EGP
1,299",,,
CARE BY CARE Care Baby Medicated Soap (100g) - For Diaper Rash & Irritated Baby Skin,"EGP
110
200
45% OFF",,,
"lovi Medical+ Feeding Bottle With Teat 3 Months+, 250ml","EGP
475",4.1,,
Macro Care by Care baby Medicated Soap 100g,"EGP
81
139.90
42% OFF",5.0,,
"FIT BAR Fitt-Bar Medicated Cleansing Soap for Acne Prone Skin, 100g","EGP
99
380
73% OFF",5.0,,
Macro Care By Care Baby Medicated Soap 100gm,"EGP
80
200
60% OFF",4.3,,
Granzia bed mattress model Aerowave,"EGP
1,900
2,000
5% OFF",5.0,,
Alternating Pressure Mattress System,"EGP
1,899
3,000
36% OFF",4.3,,
سيليا مرتبة سيليا بابل شيب الطبية المضادة لقرح الفراش - حماية فائقة وراحة قصوى,"EGP
1,799
2,988
39% OFF",,,
سيليا مرتبة سيليا بابل شيب الطبية المضادة لقرح الفراش - حماية فائقة وراحة قصوى,"EGP
2,141
3,526
39% OFF",,,
"Tongue Scraper,100% 304 Stainless Steel Bad Breath Treatment for Adults & Kids, Medical Grade Tongue cleaner for Oral Care, Easy to Use Tongue Cleaner for Hygiene","EGP
220",4.0,,
Grace Medical Baby Judy nazal aspirator for children,"EGP
622",,,
Granzia Medical Air Mattress - Model Kapacita 22,"EGP
5,500
6,000
8% OFF",5.0,,
"Grace Medical A thermal cooler bag ideal for storing medical cooling kits, medicines, and heat-sensitive products. Practical and lightweight design.","EGP
242
255
5% OFF",,,
Granzia Medical Mattress - Model Cilindrica,"EGP
2,500
2,600",,,
Medical Anti-Bedsore Air Mattress - Hospital Air Bed with Alternating Pressure Pump System - Adjustable Pressure Relief for Home Care & Hospital Use - Blue,"EGP
2,100",,,
iCone Alternating Pressure Mattress System,"EGP
1,700",,,
Brace Direct Air Pressure Premium Medical Grade Mattress Pad,"EGP
2,500",5.0,,
Granzia Padotrex Trusted for Life Airwave Medical Air Mattress,"EGP
2,754",,,
Granzia Padotrex Trusted For Life Airwave Medical Air Mattress,"EGP
2,784",,,
Granzia Padotrix Trusted For Life Aerowave Medical air Mattress/RIGHM,"EGP
2,760",,,
Professional Alternating Pressure Air Mattress for Bed Sore Prevention – Medical Bubble Pad – Universal Fit (Mattress Only),"EGP
1,980",,,
Anti-Decubitus Tubular Air Mattress for Bedsores Prevention - Inflatable Alternating Pressure System for Bedridden Patients - Heavy Duty Medical Ripple Mattress - 1 Count,"EGP
1,980",,,
Medical Alternating Pressure Bubble Mattress - Anti-Bedsore System with Adjustable Electric Pump - Professional Pressure Relief for Bedridden Patients - Heavy Duty & Ultra-Quiet,"EGP
1,668",,,
Medical Anti-Bedsore Air Mattress - Alternating Pressure Relief System with Electric Pump - Hospital Grade Inflatable Bed Overlay for Home Care - Beige/Blue,"EGP
2,508",,,
Alternating Pressure Mattress with Quiet Electric Pump System - Inflatable Medical Air Topper for Pressure Sore Prevention and Bedridden Patient Care,"EGP
1,440",,,
Professional PVC Nylon Inflatable Medical Air Mattress – Anti-Bedsore Alternating Pressure System for Long-Term Patient Care,"EGP
1,937",,,
Professional PVC Nylon Inflatable Medical Air Mattress – Anti-Bedsore Alternating Pressure System for Long-Term Patient Care,"EGP
1,937",,,
Anti-Bedsore Air Mattress with Pump – Inflatable Bubble Mattress Pad for Pressure Relief,"EGP
3,072",,,
Alternating Air Pressure Mattress Pad with Ultra-Quiet Pump & Digital Control – Bed Sore Prevention for Hospital & Home Care,"EGP
1,560",,,
"Anti-Decubitus Bubble Air Mattress with Electric Pump, Alternating Pressure Inflatable Bed for Bed Sore Prevention and Relief, Waterproof Patient Care Mattress Pad","EGP
1,878",,,
"Alternating Pressure Mattress with Electric Pump and Inflatable Air Layer, Bed Sore Prevention and Treatment for Bedridden Patients","EGP
1,241",,,
"Wave Medical Products Wave Complete Mist Generating System - Quiet, Easy to Use, High-Quality with Accessories","EGP
1,584",,,
"Granzia Aerowave Medical Air Mattress – Anti‑Bedsore Air Pressure Mattress with Electric Pump, Hospital & Home Use","EGP
3,300",,,
"Tynor Anklet Comfeel Pair Product, to provide mild compression, warmth and support to the ankle joint. It is used to allay pain and inflammation, generally associated with old age, arthritis or injury. Woven in 3 dimensions it conforms to the complex anatomy of the anklet with exactness.","EGP
579",,,
Inflatable Air Mattress to Prevent Bedsores – Medical-Grade Comfortable Support,"EGP
2,880",,,
"Alternating Air Pressure Mattress Pad 2.8"" – Medical Egg Crate Topper for Pressure Sore Prevention & Ulcer Relief","EGP
1,882",,,
Professional PVC Nylon Inflatable Medical Air Mattress – Anti-Bedsore Alternating Pressure System for Long-Term Patient Care,"EGP
1,937",,,
Medical Anti-Bedsore Air Mattress with Adjustable Pressure Pump - Alternating Pressure System for Bedridden Patients - Sore Prevention & Relief,"EGP
1,998",,,
Medical Alternating Air Pressure Mattress for Bed Sore Prevention,"EGP
1,435",,,
"Anti-Decubitus Bubble Air Mattress for Bed Sore Prevention, Medical Pressure Ulcer Relief Mattress for Patients, Comfortable & Lightweight Alternate Pressure System, Brown (6x3 ft).","EGP
1,540",,,
Professional Alternating Pressure Air Mattress for Bedsores Prevention - Medical Bubble Pad Topper with Ultra-Quiet Electric Pump System for Home and Hospital Beds,"EGP
1,560",,,
Original Alternating Air Pressure Mattress – Bedsore Prevention Mattress for Home & Hospital Use,"EGP
2,100",,,
"Timfervis Alternating Pressure Air Mattress – Electric Pump with Inflatable Air Layer, Bed Sore Relief for Bedridden Patients","EGP
1,241",,,
"Spectra S2 Plus Hospital Grade Double Electric Breast Pump - Quiet, Medical-Grade with Massage Mode & Closed System (BPA Free)","EGP
17,999",,,
SILKPLAST Silk Plast Medical Plaster 1.25 cm Double Strength (5 Packs),"EGP
95",4.5,,
SILKPLAST Silk Plast Medical Plaster 2.5 cm Double Strength (3 Packs),"EGP
130",4.5,,
SILKPLAST Silk Plast Medical Plaster 5 cm Double Strength (3 Packs),"EGP
190",4.5,,
